Country,Last,Previous,Reference,Unit
Switzerland,0.25,0.25,,
Japan,0.5,0.5,,
Singapore,2.12,2.23,,
Euro Area,2.4,2.65,,
Canada,2.75,2.75,,
South Korea,2.75,2.75,,
China,3.1,3.1,,
Australia,4.1,4.1,,
United Kingdom,4.25,4.5,,
United States,4.5,4.5,,
Saudi Arabia,5.0,5.0,,
Indonesia,5.75,5.75,,
India,6.0,6.25,,
South Africa,7.5,7.5,,
Mexico,9.0,9.0,,
Brazil,14.75,14.25,,
Russia,21.0,21.0,,
Argentina,29.0,29.0,,
Turkey,46.0,42.5,,
